2022-01-24 12:07:37.360948 ; Session        ; Debug       ; Session log loaded as 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Debug\SessionLogs\editor 2022-01-24 12-07-35.txt'. [7.00 ms]
2022-01-24 12:07:37.380950 ; Session        ; Debug       ; Running '"C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Debug\editor.exe" ' in 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Debug'.
2022-01-24 12:07:37.577954 ; Session        ; Debug       ; Microsoft Windows 10.0.19042 X64
2022-01-24 12:07:37.577954 ; Session        ; Debug       ; .NET Framework 4.8.4420.0
2022-01-24 12:07:37.605952 ; Session        ; Debug       ; OpenTAP Engine 9.16.4+654f0b6b X64
2022-01-24 12:07:37.777468 ; Resolver       ; Debug       ; Found 23/87 assembly files. [191 ms]
2022-01-24 12:07:37.802468 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-01-24 12:07:37.803468 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-01-24 12:07:37.882513 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-01-24 12:07:38.042516 ; Searcher       ; Debug       ; Ordered 21 assemblies according to references. [257 ms]
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found 17 plugin assemblies containing 264 plugin types. [409 ms]
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.Package.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.Plugins.BasicSteps.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.5+1527f98a  of Keysight.OpenTap.Wpf.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.5+1527f98a  of PackageManager.exe
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.5+1527f98a  of Editor.exe
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of Oscilloscope.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.5+1527f98a  of ResultsViewer.exe
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.5+1527f98a  of RunExplorer.exe
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.5+1527f98a  of TimingAnalyzer.exe
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.Sdk.New.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Found version 1.2.2+ebf9ebe5   of OpenTap.VSSdk.Installer.dll
2022-01-24 12:07:38.192516 ; PluginManager  ; Debug       ; Searched 23 Assemblies. [410 ms]
2022-01-24 12:07:38.344515 ; PluginManager  ; Debug       ; Loaded OpenTap. [640 us]
2022-01-24 12:07:38.348516 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [348 us]
2022-01-24 12:07:38.400518 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [27.6 ms]
2022-01-24 12:07:38.411516 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [35.2 ms]
2022-01-24 12:07:38.467516 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [18.3 ms]
2022-01-24 12:07:38.651514 ; PluginManager  ; Debug       ; Loaded mscorlib. [800 ns]
