2022-01-24 13:02:11.041439 ; Session        ; Debug       ; Session log loaded as 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\SessionLogs\tap 2022-01-24 13-02-09.txt'. [17.0 ms]
2022-01-24 13:02:11.095439 ; Session        ; Debug       ; Running '"C:\Users\seokchoi\AppData\Local\Temp\nnhw2ax0.xx2\tap.exe" package install --dependencies "Developer's System" -r "packages.opentap.io" --non-interactive --target "C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release"' in 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release'.
2022-01-24 13:02:11.209439 ; Session        ; Debug       ; Microsoft Windows 10.0.19042 X64
2022-01-24 13:02:11.209439 ; Session        ; Debug       ; .NET Framework 4.8.4420.0
2022-01-24 13:02:11.235448 ; Resolver       ; Debug       ; Found 5/18 assembly files. [39.0 ms]
2022-01-24 13:02:11.274441 ; Session        ; Debug       ; OpenTAP Engine 9.16.4+654f0b6b X64
2022-01-24 13:02:11.429436 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\seokchoi\AppData\Local\Temp\nnhw2ax0.xx2\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-01-24 13:02:11.564501 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\seokchoi\AppData\Local\Temp\nnhw2ax0.xx2\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-01-24 13:02:11.755335 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [500 ms]
2022-01-24 13:02:11.910459 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 152 plugin types. [663 ms]
2022-01-24 13:02:11.910459 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.dll
2022-01-24 13:02:11.910459 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.Package.dll
2022-01-24 13:02:11.911458 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.Plugins.BasicSteps.dll
2022-01-24 13:02:11.911458 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [665 ms]
2022-01-24 13:02:12.007469 ; PluginManager  ; Debug       ; Loaded OpenTap. [1.66 ms]
2022-01-24 13:02:12.043459 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [13.5 ms]
2022-01-24 13:02:12.093459 ; Session        ; Debug       ; Session log loaded as 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\SessionLogs\SessionLog 2022-01-24 13-02-09.txt'. [8.85 ms]
2022-01-24 13:02:12.117455 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [9.93 ms]
2022-01-24 13:02:12.178456 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [8.90 ms]
2022-01-24 13:02:12.310458 ; PluginManager  ; Debug       ; Loaded mscorlib. [800 ns]
2022-01-24 13:02:12.577591 ; CLI            ; Debug       ; Executing CLI action: package \ install
2022-01-24 13:02:13.115036 ; CLI            ; Debug       ; Executing CLI action: package \ check-updates
2022-01-24 13:02:13.123031 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [2.20 ms]
2022-01-24 13:02:13.123031 ; CLI            ; Debug       ; CLI action returned exit code: 0 [7.64 ms]
2022-01-24 13:02:13.132774 ; PackageAction  ; Debug       ; Fetching package information...
2022-01-24 13:02:13.661308 ; PackageAction  ; Debug       ; Found package Developer's System version 9.16.5+1527f98a [426 ms]
2022-01-24 13:02:13.661837 ; PackageAction  ; Debug       ; Resolving dependencies.
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency Editor 9.16.5+1527f98a
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency OSIntegration 1.4.0+c70929ac
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency WPF Controls 9.16.5+1527f98a
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency Keysight Floating Licensing 1.4.1+e5816333
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency Results Viewer 9.16.5+1527f98a
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency CSV 9.11.0+98498e58
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency Timing Analyzer 9.16.5+1527f98a
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency SQLite and PostgreSQL 9.4.2+3009aace
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency Keysight Fixed Licensing 1.4.1+e5816333
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency SDK 9.16.4+654f0b6b
2022-01-24 13:02:16.473531 ; PackageAction  ; Debug       ; Adding dependency Visual Studio SDK 1.2.2+ebf9ebe5
2022-01-24 13:02:17.757531 ; PackageAction  ; Debug       ; Downloading 'Visual Studio SDK' version '1.2.2+ebf9ebe5' from 'https://packages.opentap.io'
2022-01-24 13:02:19.133321 ; PackageAction  ; Information ; Downloaded 'Visual Studio SDK' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\Visual Studio SDK.1.2.2+ebf9ebe5.TapPackage'. [2.60 s]
2022-01-24 13:02:19.290288 ; PackageAction  ; Debug       ; Downloading 'SDK' version '9.16.4+654f0b6b' from 'https://packages.opentap.io'
2022-01-24 13:02:24.798567 ; PackageAction  ; Information ; Downloaded 'SDK' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\SDK.9.16.4+654f0b6b.Windows,Linux.TapPackage'. [5.66 s]
2022-01-24 13:02:24.960680 ; PackageAction  ; Debug       ; Downloading 'Keysight Fixed Licensing' version '1.4.1+e5816333' from 'https://packages.opentap.io'
2022-01-24 13:02:26.061835 ; PackageAction  ; Information ; Downloaded 'Keysight Fixed Licensing' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\Keysight Fixed Licensing.1.4.1+e5816333.TapPackage'. [1.26 s]
2022-01-24 13:02:26.219222 ; PackageAction  ; Debug       ; Downloading 'SQLite and PostgreSQL' version '9.4.2+3009aace' from 'https://packages.opentap.io'
2022-01-24 13:02:29.670247 ; PackageAction  ; Information ; Downloaded 'SQLite and PostgreSQL' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage'. [3.60 s]
2022-01-24 13:02:29.827213 ; PackageAction  ; Debug       ; Downloading 'Timing Analyzer' version '9.16.5+1527f98a' from 'https://packages.opentap.io'
2022-01-24 13:02:34.954449 ; PackageAction  ; Information ; Downloaded 'Timing Analyzer' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\Timing Analyzer.9.16.5+1527f98a.x64.TapPackage'. [5.28 s]
2022-01-24 13:02:35.164883 ; PackageAction  ; Debug       ; Downloading 'CSV' version '9.11.0+98498e58' from 'https://packages.opentap.io'
2022-01-24 13:02:35.873297 ; PackageAction  ; Information ; Downloaded 'CSV' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage'. [918 ms]
2022-01-24 13:02:36.056506 ; PackageAction  ; Debug       ; Downloading 'Results Viewer' version '9.16.5+1527f98a' from 'https://packages.opentap.io'
2022-01-24 13:02:43.360847 ; PackageAction  ; Information ; Downloaded 'Results Viewer' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\Results Viewer.9.16.5+1527f98a.x64.TapPackage'. [7.48 s]
2022-01-24 13:02:43.563338 ; PackageAction  ; Debug       ; Downloading 'Keysight Floating Licensing' version '1.4.1+e5816333' from 'https://packages.opentap.io'
2022-01-24 13:02:49.720459 ; PackageAction  ; Information ; Downloaded 'Keysight Floating Licensing' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\Keysight Floating Licensing.1.4.1+e5816333.TapPackage'. [6.35 s]
2022-01-24 13:02:49.882361 ; PackageAction  ; Debug       ; Downloading 'WPF Controls' version '9.16.5+1527f98a' from 'https://packages.opentap.io'
2022-01-24 13:02:54.754526 ; PackageAction  ; Information ; Downloaded 'WPF Controls' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\WPF Controls.9.16.5+1527f98a.TapPackage'. [5.03 s]
2022-01-24 13:02:54.913787 ; PackageAction  ; Debug       ; Downloading 'OSIntegration' version '1.4.0+c70929ac' from 'https://packages.opentap.io'
2022-01-24 13:02:55.583861 ; PackageAction  ; Information ; Downloaded 'OSIntegration' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\OSIntegration.1.4.0+c70929ac.TapPackage'. [829 ms]
2022-01-24 13:02:55.751576 ; PackageAction  ; Debug       ; Downloading 'Editor' version '9.16.5+1527f98a' from 'https://packages.opentap.io'
2022-01-24 13:03:00.901823 ; PackageAction  ; Information ; Downloaded 'Editor' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\Editor.9.16.5+1527f98a.x64.TapPackage'. [5.31 s]
2022-01-24 13:03:01.042986 ; PackageAction  ; Debug       ; Downloading 'Developer's System' version '9.16.5+1527f98a' from 'https://packages.opentap.io'
2022-01-24 13:03:01.551985 ; PackageAction  ; Information ; Downloaded 'Developer's System' to 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\Developer's System.9.16.5+1527f98a.TapPackage'. [649 ms]
2022-01-24 13:03:01.553991 ; PackageAction  ; Information ; Installing to C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release
2022-01-24 13:03:01.798987 ; Installer      ; Information ; Installing C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\PackageCache\SDK.9.16.4+654f0b6b.Windows,Linux.TapPackage
2022-01-24 13:03:01.839983 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Keysight.OpenTap.Sdk.MSBuild.dll [11.9 ms]
2022-01-24 13:03:01.846985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/OpenTap.Sdk.New.dll [7.03 ms]
2022-01-24 13:03:01.865983 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/OpenTap.xml [18.6 ms]
2022-01-24 13:03:01.872985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/OpenTap.Package.xml [7.10 ms]
2022-01-24 13:03:01.876982 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/PackageSchema.xsd [3.47 ms]
2022-01-24 13:03:01.978983 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/OpenTAP Developer Guide.pdf [102 ms]
2022-01-24 13:03:01.983989 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/.OpenTapIgnore [5.36 ms]
2022-01-24 13:03:01.991985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/.HiddenFile.txt [7.44 ms]
2022-01-24 13:03:01.997987 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/.HiddenFolder/Empty.txt [6.22 ms]
2022-01-24 13:03:02.003985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/Examples.sln [5.24 ms]
2022-01-24 13:03:02.006987 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/Directory.Build.props [3.47 ms]
2022-01-24 13:03:02.012986 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/ExamplePlugin.csproj [6.35 ms]
2022-01-24 13:03:02.021986 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/GeneratorInstrument.cs [8.55 ms]
2022-01-24 13:03:02.030989 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/LowPassFilterDut.cs [8.44 ms]
2022-01-24 13:03:02.034983 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/MeasurePeakAmplitudeTestStep.cs [4.51 ms]
2022-01-24 13:03:02.041985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/package.xml [7.23 ms]
2022-01-24 13:03:02.050987 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/SomeSampleData.txt [8.53 ms]
2022-01-24 13:03:02.057985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/AssemblyInfo.cs [6.78 ms]
2022-01-24 13:03:02.062985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/ExamplePlugin/Properties/launchSettings.json [4.94 ms]
2022-01-24 13:03:02.071987 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/package.xml [9.02 ms]
2022-01-24 13:03:02.077986 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/PluginDevelopment.csproj [6.12 ms]
2022-01-24 13:03:02.085988 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/AttachedPropertyExample.cs [7.35 ms]
2022-01-24 13:03:02.088984 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/BreakSerializerExample.cs [3.40 ms]
2022-01-24 13:03:02.093992 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/ComplexSettingsExample1.cs [4.71 ms]
2022-01-24 13:03:02.097985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/ComplexSettingsExample2.cs [3.43 ms]
2022-01-24 13:03:02.100988 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/Advanced Examples/MenuModelExample.cs [3.37 ms]
2022-01-24 13:03:02.105988 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ButtonCreation.cs [5.27 ms]
2022-01-24 13:03:02.111986 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/CustomBenchSettings.cs [5.92 ms]
2022-01-24 13:03:02.114986 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/ExampleSettings.cs [2.98 ms]
2022-01-24 13:03:02.121987 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/IPAnnotation.cs [6.32 ms]
2022-01-24 13:03:02.128983 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/TestPlanCustomImportExport.cs [7.20 ms]
2022-01-24 13:03:02.132988 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/GUI/UserInputExample.cs [3.83 ms]
2022-01-24 13:03:02.137987 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ConnectionStep.cs [5.24 ms]
2022-01-24 13:03:02.145994 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/FourPortDut.cs [7.99 ms]
2022-01-24 13:03:02.149989 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/InterfaceBasedInstrument.cs [4.02 ms]
2022-01-24 13:03:02.153987 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/MeasureUsingConnectionsStep.cs [3.35 ms]
2022-01-24 13:03:02.157985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ResourceTopology.cs [4.33 ms]
2022-01-24 13:03:02.160986 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/ScpiInstrumentExample.cs [2.84 ms]
2022-01-24 13:03:02.164989 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchMatrixStep.cs [3.66 ms]
2022-01-24 13:03:02.167986 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SetSwitchStep.cs [2.98 ms]
2022-01-24 13:03:02.171995 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleDut.cs [3.98 ms]
2022-01-24 13:03:02.180985 ; package        ; Debug       ; Decompressed C:/Users/seokchoi/source/repos/Oscilloscope/Oscilloscope/bin/Release/Packages/SDK/Examples/PluginDevelopment/InstrumentsAndDuts/SimpleInstrument.cs [9.35 ms]
