2022-01-24 13:11:13.314436 ; Session        ; Debug       ; Session log loaded as 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\SessionLogs\editor 2022-01-24 13-11-10.txt'. [11.6 ms]
2022-01-24 13:11:13.368434 ; Session        ; Debug       ; Running '"C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\editor.exe" ' in 'C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release'.
2022-01-24 13:11:13.453437 ; Session        ; Debug       ; Microsoft Windows 10.0.19042 X64
2022-01-24 13:11:13.453437 ; Session        ; Debug       ; .NET Framework 4.8.4420.0
2022-01-24 13:11:13.525433 ; Session        ; Debug       ; OpenTAP Engine 9.16.4+654f0b6b X64
2022-01-24 13:11:13.692438 ; Resolver       ; Debug       ; Found 24/88 assembly files. [138 ms]
2022-01-24 13:11:13.776435 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-01-24 13:11:13.859433 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-01-24 13:11:13.983432 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\seokchoi\source\repos\Oscilloscope\Oscilloscope\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-01-24 13:11:14.472434 ; Searcher       ; Debug       ; Ordered 21 assemblies according to references. [743 ms]
2022-01-24 13:11:15.049434 ; PluginManager  ; Debug       ; Found 17 plugin assemblies containing 264 plugin types. [1.32 s]
2022-01-24 13:11:15.049434 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.dll
2022-01-24 13:11:15.049434 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.Package.dll
2022-01-24 13:11:15.049434 ; PluginManager  ; Debug       ; Found version 9.16.4+654f0b6b  of OpenTap.Plugins.BasicSteps.dll
